posx,posy,posz,turn,tick,
18.546112,1.2475,27.246893,451,1,
18.554672,1.2475,27.235956,452,1,
18.563232,1.2475,27.22502,453,1,
18.571793,1.2475,27.214083,454,1,
18.580353,1.2475,27.203144,455,1,
18.588913,1.2475,27.192207,456,1,
18.597473,1.2475,27.18127,457,1,
18.606033,1.2475,27.170334,458,1,
18.614594,1.2475,27.159397,459,1,
18.623154,1.2475,27.14846,460,1,
18.631714,1.2475,27.137524,461,1,
18.640274,1.2475,27.126587,462,1,
18.648834,1.2475,27.11565,463,1,
18.657394,1.2475,27.104713,464,1,
18.665955,1.2475,27.093777,465,1,
18.674515,1.2475,27.082838,466,1,
18.683075,1.2475,27.071901,467,1,
18.691635,1.2475,27.060965,468,1,
18.700195,1.2475,27.050028,469,1,
18.708755,1.2475,27.039091,470,1,
18.717316,1.2475,27.028154,471,1,
18.725876,1.2475,27.017218,472,1,
18.734436,1.2475,27.00628,473,1,
18.734436,1.2475,27.00628,474,1,
18.853853,1.2475,26.18156,475,1,
18.861814,1.2475,26.12658,476,1,
18.869776,1.2475,26.071598,477,1,
18.877338,1.2475,26.019365,478,1,
18.882513,1.2475,25.983627,479,1,
18.8853,1.2475,25.964384,480,1,
18.88729,1.2475,25.95064,481,1,
18.88928,1.2475,25.936893,482,1,
18.89127,1.2475,25.92315,483,1,
18.893261,1.2475,25.909403,484,1,
18.89525,1.2475,25.895658,485,1,
18.897242,1.2475,25.881912,486,1,
18.899231,1.2475,25.868166,487,1,
18.901222,1.2475,25.854422,488,1,
18.903212,1.2475,25.840675,489,1,
18.905203,1.2475,25.826931,490,1,
18.907192,1.2475,25.813185,491,1,
18.909184,1.2475,25.79944,492,1,
18.911173,1.2475,25.785694,493,1,
18.913164,1.2475,25.77195,494,1,
18.915154,1.2475,25.758204,495,1,
18.917145,1.2475,25.74446,496,1,
18.919134,1.2475,25.730713,497,1,
18.921125,1.2475,25.716969,498,1,
18.923115,1.2475,25.703222,499,1,
18.925106,1.2475,25.689478,500,1,
18.927095,1.2475,25.675732,501,1,
18.929087,1.2475,25.661987,502,1,
18.931076,1.2475,25.648241,503,1,
18.933067,1.2475,25.634497,504,1,
18.935057,1.2475,25.62075,505,1,
18.937048,1.2475,25.607006,506,1,
18.939037,1.2475,25.59326,507,1,
18.939037,1.2475,25.59326,508,1,
